player_id,name_display,number_of_regimes
8439,Aaron Rodgers,170
14874,Andrew Luck,47
14012,Andy Dalton,12
3052587,Baker Mayfield,8
16724,Blake Bortles,3
4361741,Brock Purdy,8
13994,Cam Newton,28
2573079,Carson Wentz,30
15168,Case Keenum,9
14001,Colin Kaepernick,26
2577417,Dak Prescott,62
16757,Derek Carr,19
3122840,Deshaun Watson,33
15864,Geno Smith,9
4040715,Jalen Hurts,25
2969939,Jameis Winston,8
3046779,Jared Goff,27
9597,Jay Cutler,19
16760,Jimmy Garoppolo,6
3915511,Joe Burrow,4
11252,Joe Flacco,16
4036378,Jordan Love,2
3918298,Josh Allen,69
12473,Josh Freeman,8
4038941,Justin Herbert,31
14880,Kirk Cousins,28
3917315,Kyler Murray,10
3916387,Lamar Jackson,45
2576980,Marcus Mariota,7
11237,Matt Ryan,171
12483,Matthew Stafford,83
14877,Nick Foles,9
3139477,Patrick Mahomes,89
5529,Philip Rivers,113
14881,Russell Wilson,107
8664,Ryan Fitzpatrick,5
14876,Ryan Tannehill,29
5209,Tony Romo,93
4360310,Trevor Lawrence,1
4241479,Tua Tagovailoa,17
14163,Tyrod Taylor,15
9589,Vince Young,5